Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45514.697951389,46223.66587963,Tent 8x20,0501-002,,,,0,0,,,,,,0,800,0,0,Physical item,Rental,Serialized,1,0,0,0,0,0,0,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,968,0.21,0,0,,0,0,0,,0,,1266,Jente Verbruggen,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.697951389,45736.970891204,0501-002-1,1,45514,0,,0501-002-1,,,0,,0,,,586,Jente Verbruggen,Tent 8x20,,,,,,,
45514.697951389,46223.66587963,Tent 8x20,0501-002,,,,0,0,,,,,,0,800,0,0,Physical item,Rental,Serialized,1,0,0,0,0,0,0,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,968,0.21,0,0,,0,0,0,,0,,1266,Jente Verbruggen,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.697951389,45736.970891204,0501-002-1,2,45514,0,,0501-002-1,,,0,,0,,,587,Jente Verbruggen,Tent 8x20,,,,,,,
45514.698680556,46223.66587963,Tent 5x6 (6 hoek),0501-007,,,,0,0,,,,,,0,170,0,0,Physical item,Rental,Serialized,1,0,0,0,0,0,0,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,205.7,0.21,0,0,,1,1,0,,1,,1267,Jente Verbruggen,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45514.698680556,45736.970891204,1,1,45514,1,,,,,0,,0,,,588,Jente Verbruggen,Tent 5x6 (6 hoek),,,,,,,
45514.699224537,46223.66587963,Zandzakken,0501-008,,,,0,0,,,,,,0,12,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,14.52,0.21,0,0,,17,17,0,,17,,1268,Jente Verbruggen,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.699918981,46223.66587963,Beton blokken,0501-902,,,,0,0,,,,,,0,50,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Tenten,0,Physical equipment,0,All content possible,60.5,0.21,0,0,,0,0,0,,0,,1269,Jente Verbruggen,0501-Tenten,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.701400463,46223.66587963,Takstar camera micro,0601-001,,,,0,0,,,,,,0,5,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,6.05,0.21,0,0,,1,1,0,,1,,1270,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.701689815,46223.66587963,Epson Beamer,0601-002,,,,0,0,,,,,,0,25,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,30.25,0.21,0,0,,1,1,0,,1,,1271,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.70212963,46223.66587963,Feiyutech A2000 3Axis Gimbal,0601-003,,,,0,0,,,,,,0,16,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,19.36,0.21,0,0,,1,1,0,,1,,1272,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.702326389,46223.66587963,Go Pro set 1,0601-004,,,,0,0,,,,,,0,10,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,12.1,0.21,0,0,,1,1,0,,1,,1273,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
45514.702476852,46223.66587963,Go Pro set 2,0601-005,,,,0,0,,,,,,0,12,0,0,Physical item,Rental,Bulk,1,0,0,0,0,0,0,0,0,0,0,Video,0,Physical equipment,0,All content possible,14.52,0.21,0,0,,1,1,0,,1,,1274,Jente Verbruggen,0601-Video,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),,,,,,,,,,,,,,,,,,,,,,,,,
