Created on,Last change,Name (in database),Code,Internal remark,External remark,Measuring unit,In webshop,Surface item,Short description webshop,Long description webshop,Webshop SEO title,Webshop SEO keyword,Webshop SEO description,Webshop featured product,Rental-/Sales price,Margin price,Critical stock,Type of equipment,Rental/sales,Stock calculation method,Display in planner,Archived,List price,Transport volume,Height,Width,Length,Weight,Empty weight,Power,Current,Default equipment group,The equipment can have content,Physical/Virtual,Content editable in project,Restrict actual content,Price incl. VAT,VAT rate,Has accessories,Number of images,Tags,Current quantity excl. reserved for combinations,Current quantity,Quantity reserved for combinations,Location in default stock location,Total stock per stock location [Fabriek],Location in warehouse per stock location [Fabriek],ID,Created by (Created by),Folder (Folder),Factor group (Factor group),Discount group (Discount group),VAT class (VAT class),Main image (Main image),Ledger - credit (Ledger - credit),Ledger - debit (Ledger - debit),Created on (Serial number),Last change (Serial number),Display name (Serial number),Manufacturer serial number (Serial number),Date of purchase (Serial number),Active (Serial number),Remark (Serial number),Internal reference (Serial number),Guarantee date (Serial number),Replacement date (Serial number),Current book value (Serial number),Tags (Serial number),Seal (Serial number),Actual content from (Serial number),Combination structure (Serial number),ID (Serial number),"Created by (Serial number, Created by)","Equipment (Serial number, Equipment)","Supplier (Serial number, Supplier)","Assigned to (Serial number, Assigned to)","Managed by (Serial number, Managed by)","Main image (Serial number, Main image)","On subproject (Serial number, On subproject)","Lost (Serial number, Lost)","In repair (Serial number, In repair)"
45488.945243056,46094.193726852,Chauvet Epix Flightcase 003,530,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,747,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,272,272,45309,1,,,,,0,,0,,,333,Ruben Dielkens,Chauvet Epix Flightcase 003,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 004,531,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,748,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,273,273,45309,1,,,,,0,,0,,,334,Ruben Dielkens,Chauvet Epix Flightcase 004,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 005,532,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,749,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,274,274,45309,1,,,,,0,,0,,,335,Ruben Dielkens,Chauvet Epix Flightcase 005,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 006,533,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,750,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,275,275,45309,1,,,,,0,,0,,,336,Ruben Dielkens,Chauvet Epix Flightcase 006,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 007,534,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,751,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,276,276,45309,1,,,,,0,,0,,,337,Ruben Dielkens,Chauvet Epix Flightcase 007,,,,,,,
45488.945243056,46094.193726852,Chauvet Epix Flightcase 008,535,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.24,40,50,120,20,20,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,752,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,277,277,45309,1,,,,,0,,0,,,338,Ruben Dielkens,Chauvet Epix Flightcase 008,,,,,,,
45488.945243056,46094.193726852,Clay Paky Alpha Beam Twin Flightcase 001,536,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.4725,75,60,105,24,24,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,753,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,190,190,45309,1,,,,,0,,0,,,251,Ruben Dielkens,Clay Paky Alpha Beam Twin Flightcase 001,,,,,,,
45488.945243056,46094.193726852,Clay Paky Alpha Beam Twin Flightcase 002,537,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.4725,75,60,105,24,24,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,754,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,191,191,45309,1,,,,,0,,0,,,252,Ruben Dielkens,Clay Paky Alpha Beam Twin Flightcase 002,,,,,,,
45488.945243056,46094.193726852,Clay Paky Alpha Beam Twin Flightcase 003,538,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.4725,75,60,105,24,24,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,755,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,192,192,45309,1,,,,,0,,0,,,253,Ruben Dielkens,Clay Paky Alpha Beam Twin Flightcase 003,,,,,,,
45488.945243056,46094.193726852,Clay Paky Alpha Beam Twin Flightcase 004,539,,,,0,0,,,,,,0,0,0,0,Physical combination,Rental,Bulk,0,1,0,0.4725,75,60,105,24,24,0,0,,1,Physical equipment,0,All content possible,0,0.21,0,0,,1,1,0,,1,,756,,,Voorbeeld Staffelgroep,,Hoog tarief,,Verhuur,Verhuur (debet),45309.533125,45736.970891204,193,193,45309,1,,,,,0,,0,,,254,Ruben Dielkens,Clay Paky Alpha Beam Twin Flightcase 004,,,,,,,
